name,ticker,market,sector
PT Duta Intidaya Tbk,DAYA,IDX,Retail trade
PT DCI Indonesia Tbk,DCII,IDX,Technology services
PT Danasupra Erapacific Tbk,DEFI,IDX,Finance
PT Caturkarda Depo Bangunan Tbk,DEPO,IDX,Retail trade
PT Darma Henwa Tbk,DEWA,IDX,Energy minerals
PT Dewi Shri Farmindo Tbk,DEWI,IDX,Retail trade
PT Dafam Property Indonesia Tbk,DFAM,IDX,Consumer services
PT Nusa Konstruksi Enjiniring Tbk,DGIK,IDX,Industrial services
PT Diagnos Laboratorium Utama Tbk,DGNS,IDX,Health services
PT Delta Giri Wacana Tbk,DGWG,IDX,Process industries
PT Arkadia Digital Media Tbk,DIGI,IDX,Technology services
PT Intiland Development Tbk,DILD,IDX,Finance
PT Distribusi Voucher Nusantara Tbk,DIVA,IDX,Technology services
PT Central Omega Resources Tbk,DKFT,IDX,Non-energy minerals
Pt Cipta Sarana Medika Tbk.,DKHH,IDX,Health services
PT Delta Djakarta Tbk,DLTA,IDX,Consumer non-durables
PT Puradelta Lestari Tbk,DMAS,IDX,Finance
PT Digital Mediatama Maxima Tbk,DMMX,IDX,Commercial services
PT Diamond Food Indonesia Tbk,DMND,IDX,Consumer non-durables
PT Bank Oke Indonesia Tbk,DNAR,IDX,Finance
PT Indoritel Makmur Internasional Tbk,DNET,IDX,Communications
PT BUMA Internasional Grup Tbk,DOID,IDX,Energy minerals
PT Era Media Sejahtera Tbk,DOOH,IDX,Commercial services
PT Global Sukses Digital Tbk,DOSS,IDX,Retail trade
PT Duta Pertiwi Nusantara Tbk,DPNS,IDX,Process industries
PT Dua Putra Utama Makmur Tbk,DPUM,IDX,Distribution services
PT Dharma Polimetal Tbk,DRMA,IDX,Producer manufacturing
PT Dharma Samudera Fishing Industries Tbk,DSFI,IDX,Consumer non-durables
PT Dharma Satya Nusantara Tbk,DSNG,IDX,Non-energy minerals
PT Dian Swastatika Sentosa Tbk,DSSA,IDX,Energy minerals
PT Duta Pertiwi Tbk,DUTI,IDX,Finance
PT Darya-Varia Laboratoria Tbk,DVLA,IDX,Health technology
PT Dwi Guna Laksana Tbk,DWGL,IDX,Energy minerals
PT Dyandra Media International Tbk,DYAN,IDX,Commercial services
PT Eastparc Hotel Tbk,EAST,IDX,Consumer services
PT Electronic City Indonesia Tbk,ECII,IDX,Retail trade
PT Indointernet Tbk,EDGE,IDX,Technology services
PT Ekadharma International Tbk,EKAD,IDX,Process industries
PT Data Sinergitama Jaya Tbk,ELIT,IDX,Technology services
PT Pelayaran Nasional Ekalya Purnamasari Tbk,ELPI,IDX,Transportation
PT Elnusa Tbk,ELSA,IDX,Energy minerals
PT Bakrieland Development Tbk Class A,ELTY,IDX,Finance
MERDEKA GOLD RESOURCES TBK,EMAS,IDX,Non-energy minerals
PT Megapolitan Developments Tbk,EMDE,IDX,Finance
PT Elang Mahkota Teknologi Tbk,EMTK,IDX,Consumer services
PT Champ Resto Indonesia Tbk,ENAK,IDX,Consumer services
PT Energi Mega Persada Tbk,ENRG,IDX,Energy minerals
PT Morenzo Abadi Perkasa Tbk,ENZO,IDX,Consumer non-durables
